"id","code","name","level"
"432","E010402","Scrub Tubuh","4"
"433","E010403","Sabun Mandi","4"
"434","E010404","Perawatan Tangan","4"
"435","E010405","Perawatan Kaki","4"
"436","E010406","Perawatan Mulut","4"
"437","E010407","Perawatan Payudara","4"
"438","E010408","Kesehatan Lansia","4"
"439","E0105","Perawatan Kuku","3"
"440","E010501","Kuku Palsu","4"
"441","E010502","Perawatan Kuku Tangan & Aksesoris","4"
"442","E010503","Nail Art & Sticker","4"
"443","E010504","Gunting Kuku","4"
"444","E010505","Cat, Remover & Perawatan Kuku","4"
"445","E010506","Top Coat & Base Coat","4"
"446","E010507","Set Cat Kuku","4"
"447","E010508","Peralatan Kuku","4"
"448","E0106","Parfum","3"
"449","E010601","Parfum Pria","4"
"450","E01060101","Body Spray","5"
"451","E01060102","Eau De Cologne","5"
"452","E01060103","Eau De Parfum","5"
"453","E01060104","Eau De Toilette","5"
"454","E01060105","Set Parfum Pria","5"
"455","E010602","Parfum Wanita","4"
"456","E01060201","Body Spray & Mist","5"
"457","E01060202","Eau De Cologne","5"
"458","E01060203","Eau De Parfum","5"
"459","E01060204","Eau De Toilette","5"
"460","E01060205","Set Parfum Wanita","5"
"461","E010603","Parfum Mix","4"
"462","E0107","Perawatan Pria","3"
"463","E010701","Perawatan Tubuh","4"
"464","E010702","Perawatan Wajah","4"
"465","E010703","Perawatan Kaki & Tangan","4"
"466","E010704","Perawatan Rambut","4"
"467","E010705","Styling Rambut","4"
"468","E010706","Perawatan Rambut","4"
"469","E010707","Peralatan Kebersihan","4"
"470","E010708","Perlengkapan Bercukur","4"
"471","E010709","Deodoran","4"
"472","E0108","Pakaian Pembentuk Tubuh","3"
"473","E0109","Aksesoris Tubuh & Perlengkapan Mandi","3"
"474","E010901","Garam & Bubble Mandi","4"
"475","E010902","Sikat Mandi","4"
"476","E010903","Spons Mandi & Loofah","4"
"477","E010904","Alat Cukur & Pisau Cukur","4"
"479","E0201","Alat Makeup","3"
"480","E020101","Kuas & Aplikator","4"
"481","E020102","Bola Kapas & Pembersih Telinga","4"
"482","E020103","Pelentik Bulu Mata","4"
